indicator,Indicator 06: Enrolments by race group,,,,,,,,,,,,,
title,Enrolments by race group,,,,,,,,,,,,,
type,bar,(line/bar),,,,,,,,,,,,
yaxistitle,Percentage,,,,,,,,,,,,,
xaxisvalues,"2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012",,,,,,,,,,,,,
refinedindicator,"African,Coloured,Indian,White",,,,,,,,,,,,,
data,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
UP,Coloured ,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%
UP,Indian,3%,3%,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%
UP,White,52%,52%,55%,55%,50%,50%,50%,47%,43%,42%,43%,42%,42%
Unisa,African,53%,55%,54%,53%,55%,56%,58%,61%,64%,64%,67%,70%,71%
Unisa,Coloured ,6%,5%,6%,6%,6%,6%,6%,6%,6%,6%,6%,5%,5%
Unisa,Indian,9%,9%,10%,10%,10%,10%,10%,9%,9%,9%,8%,7%,7%
Unisa,White,32%,30%,31%,31%,29%,28%,26%,24%,21%,21%,19%,18%,17%
UV,African,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
UV,Coloured ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
UV,Indian,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
UV,White,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
UWC,African,51%,49%,44%,39%,36%,34%,36%,38%,40%,40%,42%,42%,43%
UWC,Coloured ,40%,42%,46%,49%,50%,51%,50%,49%,48%,48%,47%,48%,47%
UWC,Indian,6%,6%,7%,9%,10%,10%,9%,9%,8%,7%,6%,6%,5%
UWC,White,2%,2%,2%,3%,4%,5%,5%,5%,4%,4%,4%,4%,5%
Wits,African,39%,43%,45%,47%,48%,47%,47%,48%,51%,55%,57%,57%,58%
Wits,Coloured ,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%
Wits,Indian,15%,14%,15%,15%,16%,14%,16%,15%,15%,14%,14%,13%,13%
Wits,White,43%,41%,37%,35%,34%,36%,34%,33%,31%,27%,26%,26%,25%
UZ,African,95%,93%,94%,96%,97%,92%,97%,98%,98%,99%,99%,99%,99%
UZ,Coloured ,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
UZ,Indian,2%,1%,1%,1%,1%,6%,2%,1%,1%,1%,1%,1%,1%
UZ,White,3%,5%,4%,2%,2%,1%,1%,1%,1%,0%,0%,0%,0%
VUT,African,85%,87%,89%,90%,91%,92%,93%,94%,94%,94%,95%,95%,96%
VUT,Coloured ,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,1%,2%,1%
VUT,Indian,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,0%
VUT,White,13%,11%,9%,8%,7%,6%,5%,4%,4%,4%,3%,3%,3%
WSU,African,98%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%
WSU,Coloured ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
WSU,Indian,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,1%,1%
WSU,White,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
EOF,,,,,,,,,,,,,,
